,OTitle,Title,Body,Link,Date,Type,PDate,Combined_Text,PText,PTitle
14,The Surge in Tech Layoffs 2024: Who’s to Blame?,surge tech layoffs 2024 whos blame,,https://www.kdnuggets.com/the-surge-in-tech-layoffs-2024-who-to-blame?utm_source=rss&utm_medium=rss&utm_campaign=the-surge-in-tech-layoffs-2024-whos-to-blame,"Mon, 05 Feb 2024 15:00:05 +0000",blog,20240210,surge tech layoffs 2024 whos blame ,"['surge', 'tech', 'layoffs', '2024', 'whos', 'blame']","['surge', 'tech', 'layoffs', '2024', 'whos', 'blame']"
15,"A Data Lake, You Call It? It’s a Data Swamp",lake call swamp,,https://www.kdnuggets.com/a-data-lake-you-call-it-it-a-data-swamp?utm_source=rss&utm_medium=rss&utm_campaign=a-data-lake-you-call-it-its-a-data-swamp,"Mon, 05 Feb 2024 13:00:51 +0000",blog,20240210,lake call swamp ,"['lake', 'call', 'swamp']","['lake', 'call', 'swamp']"
16,OpenAI API for Beginners: Your Easy-to-Follow Starter Guide,openai api beginners easytofollow starter guide,,https://www.kdnuggets.com/openai-api-for-beginners-your-easy-to-follow-starter-guide?utm_source=rss&utm_medium=rss&utm_campaign=openai-api-for-beginners-your-easy-to-follow-starter-guide,"Fri, 02 Feb 2024 15:00:07 +0000",blog,20240210,openai api beginners easytofollow starter guide ,"['openai', 'api', 'beginners', 'easytofollow', 'starter', 'guide']","['openai', 'api', 'beginners', 'easytofollow', 'starter', 'guide']"
17,Converting JSONs to Pandas DataFrames: Parsing Them the Right Way,converting jsons pandas frames parsing right way,,https://www.kdnuggets.com/converting-jsons-to-pandas-dataframes-parsing-them-the-right-way?utm_source=rss&utm_medium=rss&utm_campaign=converting-jsons-to-pandas-dataframes-parsing-them-the-right-way,"Fri, 02 Feb 2024 13:00:10 +0000",blog,20240210,converting jsons pandas frames parsing right way ,"['converting', 'jsons', 'pandas', 'frames', 'parsing', 'right', 'way']","['converting', 'jsons', 'pandas', 'frames', 'parsing', 'right', 'way']"
18,26 Data Science Interview Questions You Should Know,26 interview questions know,,https://www.kdnuggets.com/26-data-science-interview-questions-you-should-know?utm_source=rss&utm_medium=rss&utm_campaign=26-data-science-interview-questions-you-should-know,"Thu, 01 Feb 2024 15:00:59 +0000",blog,20240210,26 interview questions know ,"['26', 'interview', 'questions', 'know']","['26', 'interview', 'questions', 'know']"
19,Top 5 AI Podcasts You Can’t Miss in 2024,top 5 ai podcasts cant miss 2024,,https://www.kdnuggets.com/top-5-ai-podcasts-you-cant-miss-in-2024?utm_source=rss&utm_medium=rss&utm_campaign=top-5-ai-podcasts-you-cant-miss-in-2024,"Thu, 01 Feb 2024 13:00:42 +0000",blog,20240210,top 5 ai podcasts cant miss 2024 ,"['top', '5', 'ai', 'podcasts', 'cant', 'miss', '2024']","['top', '5', 'ai', 'podcasts', 'cant', 'miss', '2024']"
20,Maximizing Efficiency in Data Analysis with ChatGPT,maximizing efficiency analysis chatgpt,article provided brief overview chatgpt capabilities also discussed importance efficient analysis benefits integrating analysis process,https://www.kdnuggets.com/maximizing-efficiency-in-data-analysis-with-chatgpt?utm_source=rss&utm_medium=rss&utm_campaign=maximizing-efficiency-in-data-analysis-with-chatgpt,"Wed, 31 Jan 2024 15:00:26 +0000",blog,20240210,maximizing efficiency analysis chatgpt article provided brief overview chatgpt capabilities also discussed importance efficient analysis benefits integrating analysis process,"['maximizing', 'efficiency', 'analysis', 'chatgpt', 'article', 'provided', 'brief', 'overview', 'chatgpt', 'capabilities', 'also', 'discussed', 'importance', 'efficient', 'analysis', 'benefits', 'integrating', 'analysis', 'process']","['maximizing', 'efficiency', 'analysis', 'chatgpt']"
21,5 Free Courses to Break Into Data Analytics,5 break analytics,,https://www.kdnuggets.com/5-free-courses-to-break-into-data-analytics?utm_source=rss&utm_medium=rss&utm_campaign=5-free-courses-to-break-into-data-analytics,"Wed, 31 Jan 2024 13:00:10 +0000",blog,20240210,5 break analytics ,"['5', 'break', 'analytics']","['5', 'break', 'analytics']"
22,Why LLMs Used Alone Can’t Address Your Company’s Predictive Needs,llms used alone cant address companys predictive needs,,https://www.kdnuggets.com/2024/01/pecan-llms-used-alone-cant-address-companys-predictive-needs?utm_source=rss&utm_medium=rss&utm_campaign=why-llms-used-alone-cant-address-your-companys-predictive-needs,"Tue, 30 Jan 2024 18:00:01 +0000",blog,20240210,llms used alone cant address companys predictive needs ,"['llms', 'used', 'alone', 'cant', 'address', 'companys', 'predictive', 'needs']","['llms', 'used', 'alone', 'cant', 'address', 'companys', 'predictive', 'needs']"
23,Does ChatGPT Have The Potential To Become A New Chess Super Grandmaster?,chatgpt potential become new chess super grandmaster,,https://www.kdnuggets.com/does-chatgpt-have-the-potential-to-become-a-new-chess-super-grandmaster?utm_source=rss&utm_medium=rss&utm_campaign=does-chatgpt-have-the-potential-to-become-a-new-chess-super-grandmaster,"Tue, 30 Jan 2024 17:00:02 +0000",blog,20240210,chatgpt potential become new chess super grandmaster ,"['chatgpt', 'potential', 'become', 'new', 'chess', 'super', 'grandmaster']","['chatgpt', 'potential', 'become', 'new', 'chess', 'super', 'grandmaster']"
24,A Step by Step Guide to Reading and Understanding SQL Queries,step step guide reading understanding sql queries,,https://www.kdnuggets.com/a-step-by-step-guide-to-reading-and-understanding-sql-queries?utm_source=rss&utm_medium=rss&utm_campaign=a-step-by-step-guide-to-reading-and-understanding-sql-queries,"Tue, 30 Jan 2024 15:00:42 +0000",blog,20240210,step step guide reading understanding sql queries ,"['step', 'step', 'guide', 'reading', 'understanding', 'sql', 'queries']","['step', 'step', 'guide', 'reading', 'understanding', 'sql', 'queries']"
25,5 Free University Courses to Ace Coding Interviews,5 university ace coding interviews,,https://www.kdnuggets.com/5-free-university-courses-to-ace-coding-interviews?utm_source=rss&utm_medium=rss&utm_campaign=5-free-university-courses-to-ace-coding-interviews,"Tue, 30 Jan 2024 13:00:57 +0000",blog,20240210,5 university ace coding interviews ,"['5', 'university', 'ace', 'coding', 'interviews']","['5', 'university', 'ace', 'coding', 'interviews']"
26,Natural Language Processing: Bridging Human Communication with AI,natural language processing bridging human communication ai,post highlights real examples nlp use cases across industries also covers nlps objectives challenges latest developments,https://www.kdnuggets.com/natural-language-processing-bridging-human-communication-with-ai?utm_source=rss&utm_medium=rss&utm_campaign=natural-language-processing-bridging-human-communication-with-ai,"Mon, 29 Jan 2024 17:00:16 +0000",blog,20240210,natural language processing bridging human communication ai post highlights real examples nlp use cases across industries also covers nlps objectives challenges latest developments,"['natural', 'language', 'processing', 'bridging', 'human', 'communication', 'ai', 'post', 'highlights', 'real', 'examples', 'nlp', 'use', 'cases', 'across', 'industries', 'also', 'covers', 'nlps', 'objectives', 'challenges', 'latest', 'developments']","['natural', 'language', 'processing', 'bridging', 'human', 'communication', 'ai']"
27,What I Learned From Using ChatGPT for Data Science,learned chatgpt,,https://www.kdnuggets.com/what-i-learned-from-using-chatgpt-for-data-science?utm_source=rss&utm_medium=rss&utm_campaign=what-i-learned-from-using-chatgpt-for-data-science,"Mon, 29 Jan 2024 15:00:51 +0000",blog,20240210,learned chatgpt ,"['learned', 'chatgpt']","['learned', 'chatgpt']"
28,Learn with LinkedIn: Free Courses About AI,learn linkedin ai,,https://www.kdnuggets.com/learn-with-linkedin-free-courses-about-ai?utm_source=rss&utm_medium=rss&utm_campaign=learn-with-linkedin-free-courses-about-ai,"Mon, 29 Jan 2024 13:00:14 +0000",blog,20240210,learn linkedin ai ,"['learn', 'linkedin', 'ai']","['learn', 'linkedin', 'ai']"
29,The Only Free Course You Need To Become a Professional Data Engineer,course need become professional engineer,engineering zoomcamp offers access reading materials video tutorials assignments homeworks projects workshops,https://www.kdnuggets.com/the-only-free-course-you-need-to-become-a-professional-data-engineer?utm_source=rss&utm_medium=rss&utm_campaign=the-only-free-course-you-need-to-become-a-professional-data-engineer,"Fri, 26 Jan 2024 15:00:48 +0000",blog,20240210,course need become professional engineer engineering zoomcamp offers access reading materials video tutorials assignments homeworks projects workshops,"['course', 'need', 'become', 'professional', 'engineer', 'engineering', 'zoomcamp', 'offers', 'access', 'reading', 'materials', 'video', 'tutorials', 'assignments', 'homeworks', 'projects', 'workshops']","['course', 'need', 'become', 'professional', 'engineer']"
30,SQL Simplified: Crafting Modular and Understandable Queries with CTEs,sql simplified crafting modular understandable queries ctes,,https://www.kdnuggets.com/sql-simplified-crafting-modular-and-understandable-queries-with-ctes?utm_source=rss&utm_medium=rss&utm_campaign=sql-simplified-crafting-modular-and-understandable-queries-with-ctes,"Fri, 26 Jan 2024 13:00:11 +0000",blog,20240210,sql simplified crafting modular understandable queries ctes ,"['sql', 'simplified', 'crafting', 'modular', 'understandable', 'queries', 'ctes']","['sql', 'simplified', 'crafting', 'modular', 'understandable', 'queries', 'ctes']"
31,Leveraging AI to Design Fair and Equitable EV Charging Grids,leveraging ai design fair equitable ev charging grids,,https://www.kdnuggets.com/leveraging-ai-to-design-fair-and-equitable-ev-charging-grids?utm_source=rss&utm_medium=rss&utm_campaign=leveraging-ai-to-design-fair-and-equitable-ev-charging-grids,"Thu, 25 Jan 2024 15:00:41 +0000",blog,20240210,leveraging ai design fair equitable ev charging grids ,"['leveraging', 'ai', 'design', 'fair', 'equitable', 'ev', 'charging', 'grids']","['leveraging', 'ai', 'design', 'fair', 'equitable', 'ev', 'charging', 'grids']"
32,10 Advanced Git Techniques,10 advanced git techniques,,https://www.kdnuggets.com/10-advanced-git-techniques?utm_source=rss&utm_medium=rss&utm_campaign=10-advanced-git-techniques,"Thu, 25 Jan 2024 13:00:04 +0000",blog,20240210,10 advanced git techniques ,"['10', 'advanced', 'git', 'techniques']","['10', 'advanced', 'git', 'techniques']"
33,Supercharge Your AI Journey! Join Uplimit’s Free Building AI Products using OpenAI Course,supercharge ai journey join uplimits building ai products openai course,,https://www.kdnuggets.com/2024/01/uplimit-supercharge-your-ai-journey-openai-course?utm_source=rss&utm_medium=rss&utm_campaign=supercharge-your-ai-journey-join-uplimits-free-building-ai-products-using-openai-course,"Thu, 25 Jan 2024 01:48:48 +0000",blog,20240210,supercharge ai journey join uplimits building ai products openai course ,"['supercharge', 'ai', 'journey', 'join', 'uplimits', 'building', 'ai', 'products', 'openai', 'course']","['supercharge', 'ai', 'journey', 'join', 'uplimits', 'building', 'ai', 'products', 'openai', 'course']"
34,How Generative AI Can Help You Improve Your Data Visualization Charts,generative ai improve visualization charts,,https://www.kdnuggets.com/how-generative-ai-can-help-you-improve-your-data-visualization-charts?utm_source=rss&utm_medium=rss&utm_campaign=how-generative-ai-can-help-you-improve-your-data-visualization-charts,"Wed, 24 Jan 2024 15:00:50 +0000",blog,20240210,generative ai improve visualization charts ,"['generative', 'ai', 'improve', 'visualization', 'charts']","['generative', 'ai', 'improve', 'visualization', 'charts']"
35,8 Free Google Courses to Land Top Paying Jobs,8 google land top paying jobs,,https://www.kdnuggets.com/8-free-google-courses-to-land-top-paying-jobs?utm_source=rss&utm_medium=rss&utm_campaign=8-free-google-courses-to-land-top-paying-jobs,"Wed, 24 Jan 2024 13:00:41 +0000",blog,20240210,8 google land top paying jobs ,"['8', 'google', 'land', 'top', 'paying', 'jobs']","['8', 'google', 'land', 'top', 'paying', 'jobs']"
36,"KDnuggets News, January 24: 5 Free University Courses to Learn Data Science • Convert Unstructured Data into Structured Insights with LLMs",kdnuggets news january 24 5 university learn convert unstructured structured insights llms,,https://www.kdnuggets.com/newsletter-n03-2024-01-24?utm_source=rss&utm_medium=rss&utm_campaign=kdnuggets-news-january-24-5-free-university-courses-to-learn-data-science-convert-unstructured-data-into-structured-insights-with-llms,"Tue, 23 Jan 2024 19:26:45 +0000",blog,20240210,kdnuggets news january 24 5 university learn convert unstructured structured insights llms ,"['kdnuggets', 'news', 'january', '24', '5', 'university', 'learn', 'convert', 'unstructured', 'structured', 'insights', 'llms']","['kdnuggets', 'news', 'january', '24', '5', 'university', 'learn', 'convert', 'unstructured', 'structured', 'insights', 'llms']"
37,Powering Up with Predictive GenAI,powering predictive genai,,https://www.kdnuggets.com/2024/01/pecan-powering-predictive-genai?utm_source=rss&utm_medium=rss&utm_campaign=powering-up-with-predictive-genai,"Tue, 23 Jan 2024 18:00:13 +0000",blog,20240210,powering predictive genai ,"['powering', 'predictive', 'genai']","['powering', 'predictive', 'genai']"
38,7 Steps to Landing Your First Data Science Job,7 steps landing first job,want make successful career switch concepts cracking interviews read guide move one step closer first job,https://www.kdnuggets.com/7-steps-to-landing-your-first-data-science-job?utm_source=rss&utm_medium=rss&utm_campaign=7-steps-to-landing-your-first-data-science-job,"Tue, 23 Jan 2024 17:00:30 +0000",blog,20240210,7 steps landing first job want make successful career switch concepts cracking interviews read guide move one step closer first job,"['7', 'steps', 'landing', 'first', 'job', 'want', 'make', 'successful', 'career', 'switch', 'concepts', 'cracking', 'interviews', 'read', 'guide', 'move', 'one', 'step', 'closer', 'first', 'job']","['7', 'steps', 'landing', 'first', 'job']"
39,Top 16 Technical Data Sources for Advanced Data Science Projects,top 16 technical sources advanced projects,,https://www.kdnuggets.com/top-16-technical-data-sources-for-advanced-data-science-projects?utm_source=rss&utm_medium=rss&utm_campaign=top-16-technical-data-sources-for-advanced-data-science-projects,"Tue, 23 Jan 2024 15:00:58 +0000",blog,20240210,top 16 technical sources advanced projects ,"['top', '16', 'technical', 'sources', 'advanced', 'projects']","['top', '16', 'technical', 'sources', 'advanced', 'projects']"
40,AI Prompt Engineers are Making $300k/y,ai prompt engineers making 300ky,,https://www.kdnuggets.com/ai-prompt-engineers-are-making-300ky?utm_source=rss&utm_medium=rss&utm_campaign=ai-prompt-engineers-are-making-300k-y,"Tue, 23 Jan 2024 13:00:24 +0000",blog,20240210,ai prompt engineers making 300ky ,"['ai', 'prompt', 'engineers', 'making', '300ky']","['ai', 'prompt', 'engineers', 'making', '300ky']"
41,3 Crucial Challenges in Conversational AI Development and How to Avoid Them,3 crucial challenges conversational ai development avoid,developing conversational ai chatbot requires substantial effort however understanding addressing key challenges natural language understanding streamline development process,https://www.kdnuggets.com/3-crucial-challenges-in-conversational-ai-development-and-how-to-avoid-them?utm_source=rss&utm_medium=rss&utm_campaign=3-crucial-challenges-in-conversational-ai-development-and-how-to-avoid-them,"Mon, 22 Jan 2024 17:00:44 +0000",blog,20240210,3 crucial challenges conversational ai development avoid developing conversational ai chatbot requires substantial effort however understanding addressing key challenges natural language understanding streamline development process,"['3', 'crucial', 'challenges', 'conversational', 'ai', 'development', 'avoid', 'developing', 'conversational', 'ai', 'chatbot', 'requires', 'substantial', 'effort', 'however', 'understanding', 'addressing', 'key', 'challenges', 'natural', 'language', 'understanding', 'streamline', 'development', 'process']","['3', 'crucial', 'challenges', 'conversational', 'ai', 'development', 'avoid']"
42,3 Interesting Uses of Python’s Context Managers,3 interesting uses context managers,,https://www.kdnuggets.com/3-interesting-uses-of-python-context-managers?utm_source=rss&utm_medium=rss&utm_campaign=3-interesting-uses-of-pythons-context-managers,"Mon, 22 Jan 2024 15:00:07 +0000",blog,20240210,3 interesting uses context managers ,"['3', 'interesting', 'uses', 'context', 'managers']","['3', 'interesting', 'uses', 'context', 'managers']"
43,Exploring the Zephyr 7B: A Comprehensive Guide to the Latest Large Language Model,exploring zephyr 7b comprehensive guide latest large language,zephyr series large language released hugging face trained distilled supervised finetuning dsft larger significantly improved accuracy,https://www.kdnuggets.com/exploring-the-zephyr-7b-a-comprehensive-guide-to-the-latest-large-language-model?utm_source=rss&utm_medium=rss&utm_campaign=exploring-the-zephyr-7b-a-comprehensive-guide-to-the-latest-large-language-model,"Mon, 22 Jan 2024 13:00:22 +0000",blog,20240210,exploring zephyr 7b comprehensive guide latest large language zephyr series large language released hugging face trained distilled supervised finetuning dsft larger significantly improved accuracy,"['exploring', 'zephyr', '7b', 'comprehensive', 'guide', 'latest', 'large', 'language', 'zephyr', 'series', 'large', 'language', 'released', 'hugging', 'face', 'trained', 'distilled', 'supervised', 'finetuning', 'dsft', 'larger', 'significantly', 'improved', 'accuracy']","['exploring', 'zephyr', '7b', 'comprehensive', 'guide', 'latest', 'large', 'language']"
44,Enroll in a Data Science Undergraduate Program For Free,enroll undergraduate program,,https://www.kdnuggets.com/enroll-in-a-data-science-undergraduate-program-for-free?utm_source=rss&utm_medium=rss&utm_campaign=enroll-in-a-data-science-undergraduate-program-for-free,"Fri, 19 Jan 2024 15:00:05 +0000",blog,20240210,enroll undergraduate program ,"['enroll', 'undergraduate', 'program']","['enroll', 'undergraduate', 'program']"
45,5 Super Helpful SQL Cheat Sheets You Can’t Miss!,5 super ful sql cheat sheets cant miss,,https://www.kdnuggets.com/5-super-helpful-sql-cheat-sheets-you-cant-miss?utm_source=rss&utm_medium=rss&utm_campaign=5-super-helpful-sql-cheat-sheets-you-cant-miss,"Fri, 19 Jan 2024 13:00:54 +0000",blog,20240210,5 super ful sql cheat sheets cant miss ,"['5', 'super', 'ful', 'sql', 'cheat', 'sheets', 'cant', 'miss']","['5', 'super', 'ful', 'sql', 'cheat', 'sheets', 'cant', 'miss']"
46,5 Ways of Converting Unstructured Data into Structured Insights with LLMs,5 ways converting unstructured structured insights llms,,https://www.kdnuggets.com/5-ways-of-converting-unstructured-data-into-structured-insights-with-llms?utm_source=rss&utm_medium=rss&utm_campaign=5-ways-of-converting-unstructured-data-into-structured-insights-with-llms,"Thu, 18 Jan 2024 15:00:09 +0000",blog,20240210,5 ways converting unstructured structured insights llms ,"['5', 'ways', 'converting', 'unstructured', 'structured', 'insights', 'llms']","['5', 'ways', 'converting', 'unstructured', 'structured', 'insights', 'llms']"
47,5 Free University Courses to Learn Data Science,5 university learn,,https://www.kdnuggets.com/5-free-university-courses-to-learn-data-science?utm_source=rss&utm_medium=rss&utm_campaign=5-free-university-courses-to-learn-data-science,"Thu, 18 Jan 2024 13:00:50 +0000",blog,20240210,5 university learn ,"['5', 'university', 'learn']","['5', 'university', 'learn']"
48,6 Reasons Why a Universal Semantic Layer is Beneficial to Your Data Stack,6 reasons universal semantic layer beneficial stack,looking understand universal semantic layer improve stack gigaom sonor report semantic layers delve deeper,https://www.kdnuggets.com/2024/01/cube-6-reasons-why-a-universal-semantic-layer-is-beneficial?utm_source=rss&utm_medium=rss&utm_campaign=6-reasons-why-a-universal-semantic-layer-is-beneficial-to-your-data-stack,"Wed, 17 Jan 2024 18:00:36 +0000",blog,20240210,6 reasons universal semantic layer beneficial stack looking understand universal semantic layer improve stack gigaom sonor report semantic layers delve deeper,"['6', 'reasons', 'universal', 'semantic', 'layer', 'beneficial', 'stack', 'looking', 'understand', 'universal', 'semantic', 'layer', 'improve', 'stack', 'gigaom', 'sonor', 'report', 'semantic', 'layers', 'delve', 'deeper']","['6', 'reasons', 'universal', 'semantic', 'layer', 'beneficial', 'stack']"
